[3196, 684, 470, 42, 14538, 1008, 4753, 1008, 13268, 565, 11274]
[12332, 589, 9885, 136, 14065, 1111, 9825, 1296, 4057, 1122, 10139]
[2343, 1138, 13088, 254, 2523, 785, 1955, 721, 8269, 86, 1655]
[6373, 712, 685, 1282, 10980, 845, 7529, 229, 1904, 316, 2696]
[5361, 58, 7351, 93, 3762, 721, 8269, 86, 7161, 516, 8468]
[9156, 1170, 1726, 50, 7130, 1170, 1726, 50, 1585, 144, 14436]
[11254, 103, 9321, 1173, 13133, 744, 3904, 1170, 14430, 50, 3904]
[12688, 942, 8594, 1236, 14148, 459, 7306, 968, 2316, 495, 13927]
[10955, 725, 11162, 387, 2119, 246, 9334, 381, 6547, 246, 7246]
[11992, 721, 8269, 86, 7263, 1142, 13722, 1014, 1932, 902, 3325]
[6091, 1093, 13565, 204, 12276, 204, 7196, 575, 4196, 801, 2790]
[7756, 589, 13146, 844, 7374, 65, 12064, 1296, 8049, 1122, 7026]
[4733, 472, 8647, 472, 12220, 472, 4744, 1328, 236, 484, 4744]
[13343, 935, 6963, 1180, 6971, 910, 8190, 52, 2130, 316, 5321]
[9483, 1123, 7221, 1339, 12931, 184, 14493, 37, 10290, 1123, 7221]
[11675, 619, 1039, 329, 13639, 296, 3534, 1207, 8845, 1203, 3325]
[2949, 982, 13743, 1117, 14896, 597, 9237, 844, 9824, 65, 5685]
[92, 53, 5590, 1339, 158, 579, 4510, 622, 13850, 238, 10068]
[14589, 168, 14721, 213, 12131, 542, 14721, 213, 7854, 1138, 13088]
[7224, 421, 6499, 577, 12223, 47, 10599, 349, 13734, 1064, 2681]
[522, 296, 7277, 450, 3829, 180, 10902, 514, 12223, 349, 1356]
[3623, 1142, 8511, 1111, 6483, 1096, 10673, 306, 3325, 35, 11608]
[12548, 565, 6083, 508, 13556, 684, 470, 42, 6904, 368, 1135]
[8166, 393, 3995, 1177, 4437, 565, 4188, 508, 761, 1142, 14065]
[11531, 1122, 12277, 973, 2269, 1142, 7701, 624, 1686, 104, 2787]
[8326, 1053, 4358, 1147, 10579, 456, 12580, 160, 9824, 65, 7906]
[3139, 844, 7338, 648, 13214, 269, 9511, 597, 10212, 844, 6018]
[975, 589, 3332, 269, 3563, 1052, 12018, 860, 6589, 597, 4775]
[8990, 856, 7779, 65, 12803, 856, 1847, 65, 12803, 1201, 4160]
[1488, 355, 6405, 495, 7744, 624, 7406, 137, 5760, 88, 13246]
[3908, 1005, 12245, 334, 5049, 143, 13455, 151, 8489, 1147, 12061]
[4734, 189, 6211, 508, 9147, 53, 12937, 1164, 8348, 421, 12937]
[2555, 1279, 5804, 1164, 670, 479, 13017, 35, 4783, 52, 6100]
[4725, 421, 6929, 354, 4725, 421, 485, 1092, 7871, 35, 4783]
[8472, 136, 1650, 1111, 590, 1096, 9163, 1164, 8051, 242, 11669]
[6582, 421, 10980, 1079, 12714, 49, 2615, 316, 2744, 548, 12633]
[6629, 381, 7555, 665, 6660, 887, 7555, 246, 2748, 381, 2119]
[5982, 600, 2313, 872, 13618, 642, 5241, 1164, 8514, 1123, 5241]
[14711, 514, 12223, 326, 1362, 712, 14478, 326, 4609, 712, 1918]
[9747, 923, 8575, 1142, 10696, 1014, 4140, 1096, 12764, 52, 6678]
[3769, 58, 1482, 1004, 3769, 58, 5753, 93, 5807, 721, 9781]
[2345, 853, 1599, 892, 12230, 429, 11943, 588, 8621, 1147, 44]
[4540, 725, 2968, 192, 2119, 246, 7960, 192, 2119, 665, 5368]
[2645, 1147, 13110, 595, 8403, 1328, 14250, 595, 1470, 866, 13324]
[1464, 180, 12493, 1147, 7755, 516, 932, 93, 965, 1142, 11368]
[8439, 800, 5590, 52, 13345, 376, 13410, 229, 7910, 316, 9163]
[13697, 583, 9902, 73, 10470, 493, 1678, 52, 10869, 376, 12011]
[13010, 58, 13021, 93, 2290, 1142, 9670, 624, 14431, 595, 5358]
[13868, 74, 1627, 721, 9781, 86, 14848, 368, 3155, 1263, 8679]
[8419, 1144, 677, 1170, 1726, 50, 1585, 76, 14644, 53, 5590]
[14516, 327, 3340, 229, 3249, 376, 6354, 229, 8774, 316, 2696]
[13626, 1053, 13534, 52, 6100, 316, 4783, 1339, 4752, 233, 4783]
[7198, 108, 5387, 586, 5292, 14, 4991, 1128, 6496, 898, 5213]
[13179, 136, 10372, 1014, 8875, 800, 5590, 1218, 9869, 333, 2696]
[12884, 844, 12329, 648, 5542, 935, 14926, 1180, 424, 5, 4207]
[2519, 976, 12223, 47, 10599, 349, 14060, 53, 5590, 1164, 3461]
[1854, 1275, 8808, 382, 3492, 1340, 806, 136, 5240, 624, 5232]
[7029, 1340, 3200, 1296, 4343, 684, 470, 42, 728, 1144, 14506]
[14448, 751, 7590, 565, 9035, 508, 3655, 565, 4188, 508, 3651]
[7744, 1111, 7384, 902, 3325, 35, 3983, 1128, 13694, 1259, 1029]
[2204, 1226, 3189, 856, 5047, 648, 10272, 136, 7645, 1111, 5568]
[3332, 1321, 12018, 612, 4817, 200, 6858, 614, 4502, 1063, 11005]
[10449, 1226, 8571, 136, 3198, 1111, 1283, 136, 129, 1111, 5842]
[1926, 1142, 7744, 1111, 6405, 1088, 11005, 745, 3231, 1096, 13500]
[13098, 448, 2409, 665, 734, 216, 612, 665, 5250, 216, 12194]
[12471, 1296, 5230, 1122, 9501, 875, 12513, 624, 6510, 565, 13116]
[11931, 1122, 516, 462, 9212, 765, 733, 814, 12129, 242, 11746]
[2619, 394, 14898, 475, 1015, 394, 14898, 475, 1015, 248, 8650]
[9255, 973, 3628, 684, 470, 42, 4602, 461, 2239, 751, 5091]
[5607, 180, 10902, 1147, 9169, 1142, 10959, 1111, 10778, 495, 14777]
[7953, 801, 13031, 1122, 14243, 1142, 13388, 1111, 3200, 923, 12277]
[2853, 1142, 5712, 853, 10566, 104, 8204, 838, 4928, 607, 7398]
[5836, 721, 9781, 86, 7483, 204, 2689, 1074, 8393, 1045, 829]
[3595, 136, 129, 1111, 11346, 1096, 4688, 52, 3929, 327, 10015]
[11968, 1044, 4358, 788, 13525, 1340, 5455, 459, 13644, 384, 14065]
[5774, 969, 5220, 969, 2750, 416, 9261, 1122, 14705, 1122, 9261]
[12980, 461, 10207, 751, 9517, 589, 13620, 748, 6856, 1164, 4180]
[7168, 1147, 3005, 1142, 8404, 1014, 2197, 1080, 6306, 104, 11055]
[10506, 1011, 319, 514, 12223, 326, 1065, 712, 3399, 214, 4609]
[4599, 805, 12742, 74, 8862, 805, 7875, 611, 4055, 879, 11892]
[7135, 1123, 3457, 536, 1674, 12, 6513, 1122, 217, 589, 5718]
[10468, 887, 2119, 246, 10574, 887, 2119, 246, 3275, 381, 6547]
[13279, 1122, 6844, 1122, 10227, 1138, 13088, 254, 1285, 17, 13785]
[2070, 1053, 14458, 1164, 5564, 421, 10876, 1164, 10117, 421, 6856]
[7153, 1142, 9143, 853, 4859, 1122, 14544, 516, 12595, 93, 12753]
[7594, 242, 1262, 890, 12518, 1207, 2986, 223, 1884, 759, 2504]
[10947, 296, 3534, 792, 7963, 30, 2414, 814, 14445, 242, 7312]
