[1431, 104, 9048, 1058, 1431, 53, 12937, 1339, 5320]
[5068, 208, 8248, 1320, 8366, 208, 14139, 854, 677]
[11899, 242, 2414, 814, 305, 637, 3325, 35, 485]
[3753, 363, 8187, 333, 995, 548, 3103, 52, 7610]
[12971, 192, 4746, 665, 7734, 8, 3706, 162, 2890]
[14922, 1296, 7487, 143, 8135, 53, 5590, 444, 2890]
[1385, 976, 12223, 326, 1065, 712, 12672, 326, 13694]
[9679, 684, 470, 42, 1953, 1226, 1789, 1296, 7052]
[4735, 98, 4612, 1226, 1449, 1296, 10576, 565, 4]
[12897, 53, 5590, 261, 10335, 577, 12223, 1158, 5590]
[6029, 1053, 6438, 721, 8269, 86, 570, 721, 8269]
[1251, 1122, 3126, 1278, 3586, 143, 4472, 589, 7829]
[9977, 1226, 8365, 136, 5218, 1111, 8443, 136, 5910]
[696, 1111, 9825, 1260, 2504, 104, 7679, 721, 9781]
[7685, 863, 6812, 1144, 1585, 1170, 1726, 21, 13716]
[1628, 577, 12223, 721, 9781, 86, 14676, 721, 8269]
[6049, 421, 2394, 421, 10980, 1079, 14865, 635, 12397]
[1112, 516, 8893, 93, 9266, 516, 14249, 93, 14195]
[14866, 296, 3534, 1207, 12455, 326, 7876, 712, 1800]
[2663, 1008, 11943, 1008, 8926, 1144, 1726, 50, 677]
[4942, 565, 4188, 508, 10222, 1053, 4358, 1147, 9809]
[9411, 1226, 4547, 902, 3325, 35, 6560, 1092, 3325]
[13576, 814, 14624, 296, 10243, 792, 4727, 814, 3205]
[7268, 751, 5541, 1122, 1817, 1122, 10023, 180, 8274]
[734, 216, 12194, 665, 1044, 887, 12194, 834, 612]
[2683, 973, 3764, 875, 14777, 624, 6131, 589, 6934]
[10910, 1138, 13088, 277, 8320, 791, 9680, 925, 1888]
[152, 721, 8269, 86, 3784, 1011, 11470, 514, 12223]
[3041, 136, 8345, 1014, 12983, 751, 6710, 1226, 12983]
[6644, 751, 10780, 308, 3764, 143, 13525, 1122, 3774]
[3222, 421, 763, 548, 807, 1079, 13273, 49, 7107]
[12495, 1096, 14726, 910, 12733, 1218, 431, 333, 12733]
[2169, 1111, 14905, 1096, 13534, 1168, 7129, 1321, 7991]
[5401, 887, 6547, 246, 2726, 381, 6547, 246, 10793]
[14927, 421, 10679, 803, 3543, 421, 10679, 78, 13534]
[7243, 516, 11995, 93, 354, 925, 14925, 1147, 13836]
[12022, 508, 14318, 1142, 925, 624, 6362, 567, 6091]
[11227, 976, 12223, 349, 1356, 790, 7008, 754, 11068]
[7089, 1321, 12015, 573, 10032, 902, 3325, 35, 6005]
[2783, 1147, 10205, 516, 8777, 93, 12243, 53, 5590]
[9918, 1075, 2188, 240, 1356, 433, 14391, 589, 7035]
[8677, 624, 6574, 925, 2709, 699, 2732, 947, 12970]
[5088, 1173, 5645, 744, 2856, 1173, 5645, 1275, 12471]
[9825, 1260, 2504, 511, 2044, 1088, 1972, 745, 11775]
[10857, 421, 9964, 425, 12556, 583, 3457, 52, 3877]
[12480, 721, 8269, 86, 8131, 425, 3506, 583, 1533]
[11510, 472, 4744, 193, 747, 595, 5358, 470, 4361]
[1263, 910, 12388, 948, 5590, 540, 10165, 754, 14715]
[13473, 976, 12223, 326, 8650, 1259, 5660, 394, 12523]
[13985, 1079, 3340, 49, 8608, 316, 13534, 642, 4544]
[1764, 1123, 3911, 725, 3199, 887, 2119, 665, 11759]
[11257, 1147, 11801, 565, 6211, 508, 1031, 655, 4806]
[9492, 589, 12073, 686, 9303, 1340, 423, 935, 6963]
[2825, 1014, 1283, 1296, 9565, 1142, 3198, 1111, 4677]
[12158, 282, 3325, 35, 4714, 5, 4207, 826, 11905]
[3496, 595, 12729, 3, 11916, 516, 7351, 93, 14057]
[7410, 459, 3134, 968, 5105, 319, 5492, 1122, 421]
[9504, 53, 5590, 1164, 1380, 421, 5590, 1164, 6693]
[2438, 387, 6547, 665, 10984, 887, 6547, 246, 14246]
[6489, 421, 6077, 1164, 4192, 721, 9781, 86, 9525]
[8891, 143, 1040, 143, 8891, 53, 5590, 1164, 13835]
[4511, 1123, 6856, 1164, 13610, 233, 1483, 1164, 10830]
[2264, 421, 12168, 725, 1791, 887, 6547, 665, 1370]
[11154, 734, 9350, 118, 7170, 387, 7555, 246, 3882]
[13685, 421, 3525, 1164, 11653, 803, 11842, 634, 5303]
[10427, 421, 1483, 1164, 13242, 296, 6727, 1207, 10732]
[7670, 1123, 5590, 1164, 7622, 1164, 13384, 1255, 3325]
[1879, 721, 8269, 86, 10, 200, 3258, 1088, 1214]
[5387, 586, 2144, 815, 6496, 898, 6684, 421, 2226]
[14276, 565, 14398, 508, 12935, 721, 9781, 86, 8630]
[5441, 56, 3325, 35, 11238, 52, 1904, 376, 6067]
[7155, 648, 2784, 1096, 1741, 1001, 428, 134, 6773]
[5680, 288, 9713, 1008, 594, 53, 7221, 548, 807]
[373, 130, 971, 481, 373, 721, 9781, 86, 5416]
[486, 421, 7521, 485, 486, 421, 7521, 976, 12223]
