[11877, 143, 12274, 143, 13986, 565, 4]
[2854, 601, 3325, 35, 4783, 1079, 7529]
[14130, 1142, 5218, 520, 6843, 384, 5910]
[13173, 976, 12223, 1052, 207, 207, 7654]
[3288, 1210, 152, 326, 8650, 197, 2510]
[9780, 232, 10206, 1172, 13636, 1245, 198]
[9746, 1053, 14287, 529, 13421, 402, 3768]
[3618, 1282, 14458, 1168, 2916, 1296, 7720]
[1170, 74, 8813, 805, 1170, 1122, 7934]
[12388, 78, 14214, 579, 13850, 1273, 7670]
[7015, 136, 5240, 624, 9506, 589, 5268]
[13146, 1088, 1972, 745, 10731, 1088, 10152]
[9802, 887, 4746, 665, 12266, 887, 6547]
[13127, 1, 3325, 35, 6885, 788, 2516]
[10489, 160, 12329, 65, 237, 844, 10861]
[4784, 219, 11767, 1173, 1390, 744, 11245]
[9475, 624, 7171, 565, 7585, 508, 10348]
[2880, 363, 8732, 863, 9046, 612, 2903]
[8582, 577, 12223, 1158, 5590, 1079, 11265]
[14081, 553, 335, 1180, 13117, 642, 11085]
[13548, 248, 13694, 898, 1480, 52, 5239]
[9289, 271, 1687, 204, 9997, 1138, 13088]
[3071, 1044, 3313, 37, 5927, 184, 3313]
[4778, 382, 9656, 1278, 14716, 1122, 1964]
[4371, 968, 13042, 495, 3994, 1111, 563]
[13754, 910, 9076, 425, 2407, 583, 13215]
[14727, 1053, 14775, 421, 5590, 1164, 385]
[12109, 520, 255, 384, 10101, 520, 2921]
[13996, 93, 3786, 1226, 13916, 1096, 715]
[2951, 1164, 3799, 425, 14103, 583, 6548]
[13597, 853, 12816, 1142, 12423, 1111, 1006]
[6569, 189, 6145, 896, 9562, 600, 2313]
[3984, 968, 2022, 1201, 4797, 1278, 8520]
[677, 76, 8419, 302, 3939, 748, 5590]
[7691, 802, 8393, 1045, 4085, 727, 733]
[12835, 577, 12223, 47, 10599, 349, 543]
[5102, 856, 1847, 65, 1577, 336, 8299]
[11768, 45, 13805, 33, 10897, 65, 500]
[5510, 875, 5115, 624, 14864, 1142, 7118]
[1740, 1340, 12094, 1096, 6256, 85, 7164]
[5472, 1123, 10877, 5, 4207, 826, 715]
[7764, 296, 7277, 1207, 8798, 395, 10037]
[12005, 103, 14278, 150, 12005, 103, 14278]
[44, 1005, 12245, 334, 13188, 143, 2859]
[13963, 910, 13985, 910, 13963, 699, 12040]
[5138, 1201, 5049, 589, 4608, 1296, 12585]
[10565, 844, 11586, 648, 12473, 1296, 7305]
[6112, 516, 11311, 93, 6338, 1142, 6416]
[477, 1014, 5616, 991, 10693, 634, 6281]
[8602, 968, 9885, 1201, 3516, 180, 4016]
[8352, 13, 6547, 246, 9319, 387, 6547]
[5422, 1044, 1741, 1147, 6450, 892, 3720]
[12227, 104, 10723, 242, 1792, 890, 905]
[1566, 624, 12255, 875, 13597, 853, 8844]
[11350, 387, 2119, 83, 7515, 118, 3241]
[12085, 204, 14834, 368, 14447, 1263, 8556]
[5663, 619, 12592, 329, 10179, 318, 3325]
[2729, 1164, 13089, 421, 6856, 1164, 4511]
[7629, 600, 2313, 872, 13494, 1164, 4186]
[3915, 53, 5590, 1164, 12318, 976, 12223]
[13931, 425, 2407, 583, 14839, 514, 12223]
[12623, 530, 6713, 1328, 13258, 565, 351]
[10907, 421, 5590, 261, 6614, 948, 5590]
[4469, 577, 12223, 1158, 5590, 1164, 1619]
[10809, 1122, 14142, 1142, 7757, 624, 11832]
[10182, 887, 6547, 246, 10984, 381, 7555]
[13643, 421, 10980, 354, 14091, 1123, 10980]
[656, 192, 7555, 246, 14473, 192, 2119]
[13237, 892, 13301, 429, 6667, 565, 4]
[11878, 93, 1938, 1122, 7247, 180, 12493]
[3093, 421, 548, 803, 3093, 421, 548]
[7412, 93, 3427, 516, 14946, 58, 4643]
[14457, 565, 6083, 508, 3381, 294, 13588]
[9003, 853, 6997, 892, 14779, 429, 5500]
[7999, 472, 10273, 472, 708, 1328, 11432]
[6545, 668, 3325, 35, 8906, 953, 9786]
[7460, 887, 6547, 665, 1791, 387, 6547]
[11781, 805, 7235, 74, 4138, 805, 14610]
[8540, 595, 676, 472, 5358, 470, 6776]
[12375, 573, 4274, 751, 11950, 946, 3325]
[9094, 1226, 1609, 751, 6756, 875, 4810]
[8352, 887, 2119, 665, 680, 887, 7555]
[7144, 976, 12223, 721, 9781, 86, 11275]
[10485, 1014, 8807, 136, 5779, 1111, 12285]
[5662, 495, 9209, 1111, 14852, 1296, 12252]
[9586, 382, 14788, 971, 6412, 1334, 14326]
[2986, 242, 11418, 814, 61, 242, 7963]
[8513, 751, 11319, 143, 12887, 1122, 11299]
[7831, 721, 8269, 86, 14428, 190, 10592]
[11981, 352, 8317, 978, 14504, 352, 9700]
[1580, 725, 13524, 8, 14783, 793, 11181]
[12189, 1137, 5875, 1257, 8720, 1137, 5875]
[3750, 875, 12546, 1111, 12056, 495, 495]
[12269, 875, 12349, 1111, 4505, 1321, 6360]
[10407, 844, 12231, 62, 3421, 800, 5590]
[4339, 477, 2643, 1096, 14933, 725, 559]
[2611, 721, 8269, 86, 13572, 1001, 8903]
[5362, 1096, 11690, 1079, 12714, 1291, 6856]
[14838, 1103, 1702, 474, 11716, 1081, 3131]
[2820, 1147, 11487, 143, 6532, 461, 12622]
[10562, 1147, 7297, 89, 11644, 1171, 2765]
[5350, 1296, 3711, 89, 9178, 1201, 10886]
